    Am Südhang, Eduard von Keyserling 1916
    Andrea Delfin, Paul Heyse
    Angela Borgia, Conrad Ferdinand Meyer
    Angst, Stefan Zweig
    Anna, Betty Paoli 1857
    Aquis submersus, Theodor Storm
    Auf der Universität, Theodor Storm
    Aus dem Leben eines Taugenichts, Joseph von Eichendorff 1826
    Bahnwärter Thiel, Gerhart Hauptmann 1887
    Brief einer Unbekannten, Stefan Zweig
    Brigitta, Adalbert Stifter
    Carsten Curator, Theodor Storm
    Casanovas Heimkehr, Arthur Schnitzler
    Cordelia, Friedrich Theodor Vischer 1831
    Daemmerschoppen,Thomas Hürlimann 1989
    Danaide, Ernst von Wildenbruch 1885
    Das alte Siegel, Adalbert Stifter 1844
    Das Amulett, Conrad Ferdinand Meyer
    Das Bild des Kaisers, Wilhelm Hauff 1828
    Das Erdbeben von Chili, Heinrich von Kleist 1807
    Das Fähnlein der sieben Aufrechten, Gottfried Keller 1878
    Das Fräulein von Scuderi, E. T. A. Hoffmann
    Das Gemälde, Ludwig Tieck 1822
    Das Gold von Caxamalca, Jakob Wassermann 1928
    Das große deutsche Musikfest, Leopold Schefer 1837
    Das Kloster bei Sendomir, Franz Grillparzer 1828
    Das Majorat, E. T. A. Hoffmann 1817
    Das Marmorbild, Joseph von Eichendorff 1819
    Das Schädliche, Marie von Ebner-Eschenbach 1894
    Das Schloß Dürande, Joseph von Eichendorff 1837
    Das steinerne Herz, E. T. A. Hoffmann 1817
    Das Wirtshaus gegenüber, Hermann Kurz 1837
    Der Alte vom Berge, Ludwig Tieck 1828
    Der Apostel, Gerhart Hauptmann 1890
    Der arme Spielmann, Franz Grillparzer 1848
    Der Auferstandene, Curt Moreck
    Der Baron Bagge, Alexander Lernet-Holenia, 1936
    Der beschriebene Tännling, Adalbert Stifter
    Der blinde Geronimo und sein Bruder, Arthur Schnitzler 1900/01
    Der Drache, Ferdinand Kürnberger
    Der Einzige und seine Liebe, Timm Kröger 1905
    Der Erstgeborene, Marie von Ebner-Eschenbach 1905
    Der Exzellenzherr, Ferdinand von Saar
    Der Fenriswolf. Eine Finanznovelle, Wilhelm Vershofen 1917
    Der Findling, Heinrich von Kleist
    Der fremde Freund, Christoph Hein 1982
    Der Gang durch den Sand, Hans Grimm 1916
    Der Gekreuzigte oder Nichts Altes unter der Sonne, Leopold Schefer 1839
    Der gute Mond, Marie von Ebner-Eschenbach
    Der Hagestolz, Adalbert Stifter 1845
    Der Herr Hofrat, Marie von Ebner-Eschenbach 1912
    Der Hochwald, Adalbert Stifter 1842
    Der Kampf der Sänger, E. T. A. Hoffmann
    Der Laufen, Emil Strauss
    Der Letzte, Ernst von Wildenbruch 1883
    Der Mondsüchtige, Ludwig Tieck 1832
    Der Mörder, Adolf Wilbrandt
    Der Pate des Todes, Adolf Stern 1904
    Der Richter in der Karu, Hans Grimm 1930
    Der Sadduzäer von Amsterdam, Karl Gutzkow 1832
    Der Sandmann, E. T. A. Hoffmann
    Der Schein trügt, Franz von Dingelstedt 1844
    Der Schimmelreiter, Theodor Storm 1888
    Der Schuss von der Kanzel, Conrad Ferdinand Meyer
    Der Sohn, Arthur Schnitzler 1892
    Der Stadtpfeifer, Wilhelm Heinrich Riehl 1856
    Der stumme Ratsherr, Wilhelm Heinrich Riehl 1863
    Der Tausch, Eduard Duller 1844
    Der Tod in Venedig, Thomas Mann 1912
    Der tolle Invalide vom Fort Ratoneau Achim von Arnim
    Der Unsterblichkeitstrank, Leopold Schefer 1831
    Der Vorzugsschüler, Marie von Ebner-Eschenbach 1898
    Der Waldbrand, Leopold Schefer 1827
    Der Waldgänger, Adalbert Stifter 1847
    Der Waldsteig, Adalbert Stifter 1845
    Des Elefanten Wiederkehr, Hans Grimm 1930
    Des Lebens Überfluß, Ludwig Tieck 1839
    Die beiden Tabus, Hermann Kurz
    Die Bergwerke zu Falun, E. T. A. Hoffmann 1819
    Die Bettlerin vom Pont des Arts, Wilhelm Hauff 1826
    Die Brüder, Betty Paoli 1847
    Die Deportirten, Leopold Schefer 1824
    Die drei gerechten Kammmacher, Gottfried Keller
    Die Entdeckung der Currywurst, Uwe Timm 1993
    Die Freiherren von Gemperlein, Marie von Ebner-Eschenbach 1879
    Die Hirtenflöte, Arthur Schnitzler 1911
    Die Hochzeit des Mönchs, Conrad Ferdinand Meyer
    Die Judenbuche, Annette von Droste-Hülshoff 1842
    Die kleine Welt, Rudolf Lindau 1880
    Die Kokette, Ignaz Franz Castelli 1840
    Die Legende vom heiligen Trinker, Joseph Roth 1939
    Die Marquise von O..., Heinrich von Kleist 1808
    Die Maske, Franz von Gaudy 1838
    Die Opfer der Börse, Ferdinand Kürnberger
    Die Osternacht, Leopold Schefer 1826
    Die Reise nach Tilsit, Hermann Sudermann 1917
    Die Reisegefährten, Marie von Ebner-Eschenbach
    Die Schachnovelle, Stefan Zweig 1941
    Die Schule der Welt, Franz von Dingelstedt 1842
    Die schwarze Galeere, Wilhelm Raabe 1861
    Die schwarze Spinne, Jeremias Gotthelf
    Die Schweden vor Olmütz, Johann Gabriel Seidl 1840
    Die Septembernovelle, Arnolt Bronnen 1923
    Die Söhne des Senators, Theodor Storm 1880
    Die Spitzin, Marie von Ebner-Eschenbach 1901
    Die Verlobung in St. Domingo, Heinrich Kleist
    Die Vermählung der Toten, Isolde Kurz
    Die verschlossene Kammer, Karl Immermann 1833
    Die Verwandlung, Franz Kafka 1912
    Die Wartburgsfeier, Gustav Kühne 1831
    Die Wundersüchtigen, Ludwig Tieck 1831
    Die Zerrissenen, Alexander von Ungern-Sternberg 1832
    Dina, Hans Grimm 1913
    Don Juan von Kolomea, Leopold von Sacher-Masoch 1866
    Draußen im Heidedorf, Theodor Storm
    Ein Carnevalsfest auf Ischia, August Kopisch 1832
    Ein fliehendes Pferd, Martin Walser 1978
    Eine Meerfahrt, Joseph von Eichendorff 1835
    Elsi, die seltsame Magd, Jeremias Gotthelf 1843
    Flucht und Fund, Ferdinand Kürnberger 1861
    Frau Regel Amrain und ihr Jüngster, Gottfried Keller
    Fastnachtsbeichte, Carl Zuckmayer
    Frühling, Thomas Lehr 2001
    Falkennovelle
    Geschichte vom braven Kasperl und dem schönen Annerl, Clemens Brentano 1838
    Ginevra, Ferdinand von Saar 1890
    Ginevra degli Amieri, Thomas Mann 1906
    Giovanna, Ferdinand Kürnberger 1852
    Göttliche Komödie in Rom, Leopold Schefer 1841
    Grete Minde, Theodor Fontane 1880
    Gustav Adolfs Page, Conrad Ferdinand Meyer
    Hans und Heinz Kirch, Theodor Storm 1883
    Hasara Raba, Leopold von Sacher-Masoch 1877
    Herr Fridolin und sein Glück, Ferdinand von Saar 1894
    Honorine, Betty Paoli 1844
    Im Brauerhause, Theodor Storm
    Im Krebsgang, Günter Grass 2002
    Immensee, Theodor Storm 1849
    Juana, Johann Gabriel Seidl 1842
    Katz und Maus, Günter Grass 1961
    Kleider machen Leute, Gottfried Keller 1873
    Krambambuli, Marie von Ebner-Eschenbach 1884
    Künstlerehe, Leopold Schefer 1828
    L'Arrabbiata, Paul Heyse
    Leonore, Betty Paoli 1844
    Lenz, Georg Büchner, 1835
    Leutnant Burda, Ferdinand von Saar 1887
    Leutnant Gustl, Arthur Schnitzler 1900
    Liebeswerben, Ludwig Tieck 1839
    Lüderitzland, Hans Grimm 1934
    Marianne, Ferdinand von Saar 1873
    Maria Stuart, Stefan Zweig
    Mario und der Zauberer, Thomas Mann 1930
    Mars ruft Venus, Norbert Gisder 2005
    Meister Martin der Küfner und seine Gesellen, E. T. A. Hoffmann
    Michael Kohlhaas, Heinrich von Kleist 1807
    Mordenaars Graf, Hans Grimm 1913
    Mozart auf der Reise nach Prag, Eduard Mörike
    Neid, Ernst von Wildenbruch 1900
    Novelle, Johann Wolfgang von Goethe 1827
    Palmerio, Leopold Schefer 1823
    Pankraz, der Schmoller, Gottfried Keller
    Plautus im Nonnenkloster, Conrad Ferdinand Meyer
    Pole Poppenspäler, Theodor Storm 1874
    Prinz Wieduwitt, Emil Strauß 1898
    Requiem der Liebe, Ferdinand von Saar 1896
    Romeo und Julia auf dem Dorfe, Gottfried Keller 1856
    Samuel Brinks letzte Liebesgeschichte, Joseph Schreyvogel 1821
    Schach von Wuthenow, Theodor Fontane 1883
    Schachnovelle, Stefan Zweig 1941
    Schloß Kostenitz, Ferdinand von Saar 1892
    Schuld und Sühnung, Betty Paoli 1844
    Der Schuß von der Kanzel, Conrad Ferdinand Meyer
    Schwüle Tage, Eduard von Keyserling 1906
    Spiel im Morgengrauen, Arthur Schnitzler
    Schweigeminute, Siegfried Lenz 2008
    Der Schimmelreiter, Theodor Storm, 1888
    Tambi, Ferdinand von Saar 1882
    Tonio Kröger, Thomas Mann 1903
    Traumnovelle, Arthur Schnitzler 1926
    Tristan, Thomas Mann 1903
    Die Troglodytin, Ferdinand von Saar 1888
    Unterhaltungen deutscher Ausgewanderten, Johann Wolfgang von Goethe 1795
    Unterm Birnbaum, Theodor Fontane 1885
    Venus im Pelz, Leopold von Sacher-Masoch
    Geschichte vom braven Kasperl und dem schönen Annerl, Clemens Brentano 1818
    Zum wilden Mann, Wilhelm Raabe 1873
    Zur Chronik von Grieshuus, Theodor Storm
